Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2016-03-02 00:49:58;2016-03-02 10:12:19;99%;9:22;;;;4253
2016-03-03 01:10:27;2016-03-03 08:48:22;75%;7:37;;;;3180
2016-03-04 02:13:56;2016-03-04 09:24:52;78%;7:10;;;;2890
2016-03-05 04:15:09;2016-03-05 10:47:13;60%;6:32;;;;1588
2016-03-08 00:15:56;2016-03-08 08:58:09;82%;8:42;;;;3744
2016-03-09 01:06:44;2016-03-09 10:00:57;83%;8:54;;;;2528
2016-03-10 00:33:25;2016-03-10 09:58:28;78%;9:25;;;;4384
2016-03-18 00:47:42;2016-03-18 08:00:21;68%;7:12;;;;1979
2016-03-27 01:03:29;2016-03-27 09:23:28;91%;8:19;;;;3458
2016-03-28 01:22:48;2016-03-28 09:57:59;100%;8:35;;;;977
2016-03-29 00:25:13;2016-03-29 09:54:28;89%;9:29;;;;4560
2016-03-30 01:44:58;2016-03-30 09:51:03;76%;8:06;;;;1967
2016-03-31 01:44:12;2016-03-31 09:56:35;85%;8:12;;;;3490
2016-04-01 02:05:26;2016-04-01 09:41:18;74%;7:35;;;;3428
2016-04-02 02:17:44;2016-04-02 11:05:26;91%;8:47;;;;6365
2016-04-03 04:23:02;2016-04-03 11:15:32;72%;6:52;;;;2142
2016-04-05 02:27:31;2016-04-05 08:59:03;64%;6:31;;;;3499
2016-04-06 01:14:46;2016-04-06 08:50:43;78%;7:35;;;;3344
2016-04-07 01:13:59;2016-04-07 09:29:31;92%;8:15;;;;2753
2016-04-09 04:24:48;2016-04-09 12:18:56;90%;7:54;;;;4633
2016-04-10 04:13:49;2016-04-10 11:27:54;79%;7:14;;;;3602
2016-04-11 01:29:22;2016-04-11 09:04:41;82%;7:35;;;;1478
2016-04-11 09:28:15;2016-04-11 09:58:08;6%;0:29;;;;0
2016-04-13 00:44:25;2016-04-13 09:56:09;100%;9:11;;;;2570
2016-04-14 03:31:20;2016-04-14 09:40:12;65%;6:08;;;;5704
2016-04-15 00:54:46;2016-04-15 08:55:18;78%;8:00;;;;2100
2016-04-16 04:25:10;2016-04-16 10:41:41;70%;6:16;;;;6983
2016-04-19 01:57:46;2016-04-19 09:44:35;61%;7:46;;;;6580
2016-04-20 05:35:45;2016-04-20 09:35:19;43%;3:59;;;;3491
2016-04-21 00:36:04;2016-04-21 09:35:59;97%;8:59;;;;2693
2016-04-22 01:31:28;2016-04-22 09:35:08;82%;8:03;;;;3005
2016-04-23 02:55:32;2016-04-23 10:00:44;81%;7:05;;;;5490
2016-04-25 01:13:01;2016-04-25 08:58:04;78%;7:45;;;;2737
2016-04-26 01:06:12;2016-04-26 09:25:43;91%;8:19;;;;3326
2016-04-27 01:23:39;2016-04-27 09:41:55;84%;8:18;;;;1675
2016-04-28 01:10:54;2016-04-28 08:22:44;88%;7:11;;;;6041
2016-04-29 02:17:56;2016-04-29 09:40:05;82%;7:22;;;;5096
2016-05-01 04:11:56;2016-05-01 11:37:55;83%;7:25;;;;3579
2016-05-03 02:02:20;2016-05-03 09:42:48;78%;7:40;;;;3849
2016-05-04 01:59:49;2016-05-04 09:48:07;85%;7:48;;;;5158
2016-05-06 01:32:30;2016-05-06 08:46:25;78%;7:13;;;;3817
2016-05-08 02:09:37;2016-05-08 11:33:04;98%;9:23;;;;6923
2016-05-09 00:54:23;2016-05-09 08:43:50;64%;7:49;;;;2769
2016-05-10 01:35:45;2016-05-10 09:33:58;66%;7:58;;;;4608
2016-05-11 01:16:22;2016-05-11 09:53:23;86%;8:37;;;;3672
2016-05-12 00:05:59;2016-05-12 09:55:33;91%;9:49;;;;2134
2016-05-13 01:52:13;2016-05-13 09:46:48;74%;7:54;;;;1085
2016-05-15 01:44:28;2016-05-15 10:47:45;92%;9:03;;;;2670
2016-05-17 00:11:13;2016-05-17 08:36:49;88%;8:25;;;;2628
2016-05-21 04:16:05;2016-05-21 10:17:56;58%;6:01;;;;1962
2016-05-22 05:33:06;2016-05-22 10:46:13;58%;5:13;;;;1975
2016-05-23 03:46:03;2016-05-23 09:38:32;65%;5:52;;;;1968
2016-05-27 01:52:03;2016-05-27 09:27:00;64%;7:34;:|;;;4275
2016-05-28 04:10:57;2016-05-28 10:59:41;62%;6:48;:);;;3746
2016-05-31 03:58:48;2016-05-31 10:20:59;41%;6:22;:|;;;2880
2016-06-01 01:33:22;2016-06-01 10:13:50;65%;8:40;:);;;3459
2016-06-02 00:53:32;2016-06-02 10:29:01;72%;9:35;:|;;;1270
2016-06-03 02:20:43;2016-06-03 10:01:50;64%;7:41;:);;;1968
2016-06-04 05:49:26;2016-06-04 11:02:54;40%;5:13;:);;;2175
2016-06-05 03:48:19;2016-06-05 12:58:59;66%;9:10;:);;;2797
2016-06-06 04:40:40;2016-06-06 11:43:29;71%;7:02;:);;;3890
2016-06-07 23:35:29;2016-06-08 11:08:58;69%;11:33;:);;;2854
2016-06-09 00:57:43;2016-06-09 07:00:25;56%;6:02;:|;;;5733
2016-06-09 23:49:53;2016-06-10 06:59:43;40%;7:09;:|;;;3331
2016-06-13 01:04:18;2016-06-13 07:27:57;63%;6:23;:|;;;2312
2016-06-15 01:21:57;2016-06-15 07:43:01;65%;6:21;:(;;;4531
2016-06-15 23:08:41;2016-06-16 08:25:13;87%;9:16;:|;;;2377
2016-06-17 01:17:06;2016-06-17 06:59:21;55%;5:42;:);;;2618
2016-06-20 00:46:00;2016-06-20 07:59:52;72%;7:13;:|;;;3065
2016-06-20 22:15:27;2016-06-21 07:58:33;92%;9:43;:|;;;1859
2016-06-21 23:48:23;2016-06-22 07:43:38;82%;7:55;:);;;1284
2016-06-23 00:31:54;2016-06-23 07:36:17;66%;7:04;:);;;1720
2016-06-23 22:09:43;2016-06-24 06:46:30;98%;8:36;:);;;2365
2016-06-25 00:26:43;2016-06-25 07:59:44;90%;7:33;:);;;1481
2016-06-27 00:20:16;2016-06-27 07:51:58;85%;7:31;:|;;;953
2016-06-28 00:19:10;2016-06-28 07:50:56;91%;7:31;:|;;;807
2016-06-29 00:11:30;2016-06-29 07:57:57;88%;7:46;:|;;;1450
2016-06-30 00:02:13;2016-06-30 07:40:41;81%;7:38;:);;;1387
2016-07-01 00:58:28;2016-07-01 07:45:27;76%;6:46;:);;;4128
2016-07-05 05:09:03;2016-07-05 07:40:32;30%;2:31;:);;;2969
2016-07-06 04:05:37;2016-07-06 07:31:32;41%;3:25;:|;;60;3408
2016-07-06 23:17:16;2016-07-07 07:09:42;75%;7:52;:);;78;2186
2016-07-07 23:11:23;2016-07-08 07:28:16;85%;8:16;:|;;;3454
2016-07-09 01:05:52;2016-07-09 09:36:41;75%;8:30;:);;72;2790
2016-07-10 23:34:53;2016-07-11 07:28:02;77%;7:53;:|;;62;1530
2016-07-11 23:15:04;2016-07-12 07:28:05;86%;8:13;:|;;69;2900
2016-07-12 23:48:42;2016-07-13 07:29:00;71%;7:40;:|;;63;1690
2016-07-14 00:32:33;2016-07-14 07:29:00;76%;6:56;:|;;82;2034
2016-07-14 23:26:32;2016-07-15 07:25:48;83%;7:59;:(;;64;2006
2016-07-16 02:32:54;2016-07-16 09:13:34;64%;6:40;:);;76;3392
2016-07-17 04:00:40;2016-07-17 11:26:43;34%;7:26;:);;68;3030
2016-07-17 22:40:13;2016-07-18 07:27:20;81%;8:47;:);;88;1510
2016-07-19 00:13:09;2016-07-19 07:25:05;69%;7:11;:|;;73;2030
2016-07-19 23:16:26;2016-07-20 07:25:13;84%;8:08;:|;;82;4778
2016-07-20 23:28:20;2016-07-21 07:25:41;83%;7:57;:|;;60;3096
2016-07-22 01:05:21;2016-07-22 07:39:52;67%;6:34;:|;;93;4756
2016-07-23 01:30:21;2016-07-23 09:55:51;76%;8:25;:);;78;1547
2016-07-24 07:22:50;2016-07-24 10:36:52;14%;3:14;:|;;99;73
2016-07-25 00:00:56;2016-07-25 07:50:12;89%;7:49;:|;;62;743
2016-07-25 23:44:09;2016-07-26 07:40:53;77%;7:56;:);;78;4211
2016-07-27 02:56:26;2016-07-27 07:56:59;57%;5:00;:|;;67;2958
2016-07-28 04:27:56;2016-07-28 07:56:44;37%;3:28;:|;;62;6430
2016-07-29 05:20:49;2016-07-29 07:55:11;29%;2:34;:|;;86;2611
2016-07-30 01:20:32;2016-07-30 10:03:38;98%;8:43;:);;77;2376
2016-07-31 02:54:50;2016-07-31 11:04:45;88%;8:09;:);;79;3191
2016-08-01 00:59:52;2016-08-01 07:52:55;60%;6:53;:|;;;3001
2016-08-02 02:13:11;2016-08-02 07:37:31;59%;5:24;:|;;;5408
2016-08-04 00:45:19;2016-08-04 07:51:53;73%;7:06;:|;;76;4948
2016-08-05 01:11:11;2016-08-05 07:36:22;66%;6:25;:|;;67;3455
2016-08-06 03:14:27;2016-08-06 08:48:41;46%;5:34;:);;105;14755
2016-08-07 01:59:26;2016-08-07 09:22:13;75%;7:22;:|;;71;13838
2016-08-08 00:54:02;2016-08-08 07:18:57;64%;6:24;:);;69;3461
2016-08-09 00:32:07;2016-08-09 07:44:21;84%;7:12;:|;;73;7509
2016-08-10 00:58:13;2016-08-10 07:59:56;70%;7:01;:|;;81;5911
2016-08-11 00:07:37;2016-08-11 07:54:37;76%;7:46;:|;;63;4394
2016-08-12 00:32:05;2016-08-12 07:39:24;71%;7:07;:|;;76;2746
2016-08-13 00:24:24;2016-08-13 08:44:08;88%;8:19;:|;;83;3597
2016-08-14 04:09:30;2016-08-14 09:37:05;60%;5:27;:);;73;10837
2016-08-14 23:34:00;2016-08-15 07:45:00;86%;8:11;:|;;76;2144
2016-08-16 01:01:48;2016-08-16 07:38:36;74%;6:36;:|;;65;3903
2016-08-17 01:24:52;2016-08-17 07:44:54;60%;6:20;:(;;70;3275
2016-08-19 00:00:16;2016-08-19 07:43:27;76%;7:43;:|;;87;2663
2016-08-21 03:33:09;2016-08-21 10:55:13;77%;7:22;:|;;72;4449
2016-08-21 23:28:56;2016-08-22 07:33:09;90%;8:04;:|;;68;2031
2016-08-23 00:08:27;2016-08-23 07:29:07;82%;7:20;:|;;53;3141
2016-08-24 00:21:13;2016-08-24 07:26:09;74%;7:04;:|;;64;2756
2016-08-25 01:09:16;2016-08-25 07:34:44;61%;6:25;:|;;69;6176
2016-08-26 00:47:39;2016-08-26 07:33:02;62%;6:45;:|;;67;4863
2016-08-28 00:56:26;2016-08-28 08:48:14;78%;7:51;:);;72;6774
2016-08-28 23:24:26;2016-08-29 07:32:01;50%;8:07;:|;;;6242
2016-08-30 00:20:57;2016-08-30 07:35:46;65%;7:14;:|;;61;3714
2016-08-31 01:43:29;2016-08-31 07:28:46;48%;5:45;:|;;64;3018
2016-08-31 23:56:38;2016-09-01 07:32:58;69%;7:36;:|;;96;4034
2016-09-01 23:28:49;2016-09-02 07:33:01;76%;8:04;:|;;54;2551
2016-09-03 01:02:16;2016-09-03 08:43:46;84%;7:41;:);;63;3242
2016-09-05 00:26:34;2016-09-05 08:03:45;75%;7:37;:|;;66;1328
2016-09-05 22:34:39;2016-09-06 07:35:52;79%;9:01;:|;;65;5215
2016-09-07 00:14:38;2016-09-07 07:34:29;73%;7:19;:|;;59;3459
2016-09-07 23:46:25;2016-09-08 07:32:39;77%;7:46;:|;;69;2374
2016-09-08 23:45:58;2016-09-09 06:51:05;71%;7:05;:);;75;1918
2016-09-10 06:17:17;2016-09-10 09:23:30;38%;3:06;:);;73;0
2016-09-11 00:34:20;2016-09-11 10:24:08;96%;9:49;:);;70;4152
2016-09-11 23:47:01;2016-09-12 07:21:54;63%;7:34;:);;67;2253
2016-09-12 23:26:32;2016-09-13 07:21:03;76%;7:54;:);;70;6271
2016-09-14 00:15:53;2016-09-14 07:33:34;70%;7:17;:|;;;2347
2016-09-15 00:22:42;2016-09-15 06:56:39;57%;6:33;:|;;80;4076
2016-09-15 23:14:14;2016-09-16 07:20:43;74%;8:06;:);;79;3118
2016-09-16 22:53:10;2016-09-17 08:29:48;91%;9:36;:);;64;3276
2016-09-18 00:46:34;2016-09-18 09:26:15;78%;8:39;:);;116;3410
2016-09-18 23:43:17;2016-09-19 07:33:39;81%;7:50;:|;;64;1964
2016-09-20 01:01:10;2016-09-20 07:35:01;63%;6:33;:|;;80;3784
2016-09-21 00:13:01;2016-09-21 07:27:14;74%;7:14;:|;;69;2020
2016-09-21 23:29:17;2016-09-22 07:32:26;88%;8:03;:|;;72;3392
2016-09-23 00:03:34;2016-09-23 07:35:49;81%;7:32;:|;;83;3969
2016-09-25 03:11:11;2016-09-25 10:37:18;84%;7:26;:);;81;3006
2016-09-25 23:30:02;2016-09-26 07:16:21;89%;7:46;:);;66;3433
2016-09-27 01:02:11;2016-09-27 07:29:29;77%;6:27;:|;;85;2565
2016-09-27 23:45:49;2016-09-28 07:33:34;97%;7:47;:|;;72;2473
2016-09-29 00:24:51;2016-09-29 07:35:45;74%;7:10;:|;;63;2903
2016-09-29 23:48:26;2016-09-30 07:32:27;72%;7:44;:|;;76;2918
2016-09-30 23:27:52;2016-10-01 08:34:56;100%;9:07;:);;83;5232
2016-10-01 22:40:50;2016-10-02 10:20:23;87%;11:39;:);;112;2165
2016-10-03 00:24:59;2016-10-03 07:27:45;75%;7:02;:);;87;1761
2016-10-04 02:36:32;2016-10-04 07:33:36;56%;4:57;:|;;78;5039
2016-10-05 01:09:26;2016-10-05 07:32:46;42%;6:23;:|;;82;2954
2016-10-06 00:55:45;2016-10-06 07:34:42;70%;6:38;:(;;72;3649
2016-10-08 02:07:04;2016-10-08 09:57:08;68%;7:50;:);;69;3586
2016-10-10 01:41:15;2016-10-10 07:24:50;56%;5:43;:|;;75;5362
2016-10-11 01:18:37;2016-10-11 02:14:08;12%;0:55;:);;;3909
2016-10-11 02:26:39;2016-10-11 07:33:34;58%;5:06;:|;;62;0
2016-10-12 01:33:22;2016-10-12 07:33:28;57%;6:00;:|;;64;2066
2016-10-13 02:55:24;2016-10-13 07:30:44;41%;4:35;:);;67;2494
2016-10-13 23:44:30;2016-10-14 07:34:53;70%;7:50;:(;;66;2228
2016-10-16 02:16:49;2016-10-16 10:06:05;84%;7:49;:);;84;1461
2016-10-17 00:00:49;2016-10-17 07:29:09;65%;7:28;:|;;73;2936
2016-10-18 02:22:05;2016-10-18 07:30:09;54%;5:08;:|;;64;2820
2016-10-19 00:39:14;2016-10-19 07:34:58;79%;6:55;:|;;53;3633
2016-10-20 01:02:20;2016-10-20 07:34:42;64%;6:32;:|;;;2815
2016-10-21 00:53:11;2016-10-21 07:15:17;66%;6:22;:|;;56;2451
2016-10-22 02:00:04;2016-10-22 11:42:26;92%;9:42;:);;93;2958
2016-10-23 01:18:53;2016-10-23 09:10:01;80%;7:51;:);;73;2703
2016-10-23 23:42:38;2016-10-24 07:00:13;52%;7:17;:|;;81;2918
2016-10-24 23:35:23;2016-10-25 06:58:03;67%;7:22;:(;;58;1781
2016-10-25 23:21:16;2016-10-26 07:00:13;78%;7:38;:|;;;1484
2016-10-27 01:24:11;2016-10-27 07:13:52;66%;5:49;:|;;;3739
2016-10-28 00:00:55;2016-10-28 07:12:29;65%;7:11;:|;;96;3577
2016-10-29 00:49:04;2016-10-29 10:47:21;58%;9:58;:);;80;2531
2016-10-30 01:25:01;2016-10-30 09:10:30;79%;7:45;:);;83;806
2016-10-30 23:56:20;2016-10-31 07:12:22;67%;7:16;:|;;63;1305
2016-10-31 23:45:13;2016-11-01 07:13:43;60%;7:28;:|;;67;5130
2016-11-01 23:26:41;2016-11-02 07:13:57;61%;7:47;:|;;61;3451
2016-11-03 00:01:12;2016-11-03 07:09:16;64%;7:08;:|;;72;3872
2016-11-03 23:21:44;2016-11-04 07:12:41;72%;7:50;:|;;73;1914
2016-11-07 00:38:23;2016-11-07 06:55:06;51%;6:16;:|;;71;2317
2016-11-08 00:01:15;2016-11-08 07:04:08;68%;7:02;:|;;72;4398
2016-11-09 02:13:28;2016-11-09 07:11:54;47%;4:58;:|;;;2478
2016-11-10 00:26:57;2016-11-10 07:10:48;56%;6:43;:|;;66;2660
2016-11-10 23:52:08;2016-11-11 07:28:57;70%;7:36;:|;;73;2480
2016-11-13 00:52:52;2016-11-13 10:04:31;79%;9:11;:);;77;772
2016-11-14 00:28:04;2016-11-14 07:27:15;64%;6:59;:|;;;1132
2016-11-15 01:01:21;2016-11-15 07:10:19;58%;6:08;:|;;82;2884
2016-11-16 00:21:03;2016-11-16 07:00:15;67%;6:39;:|;;66;2341
2016-11-17 00:43:20;2016-11-17 06:59:29;66%;6:16;:|;;;3311
2016-11-18 01:10:55;2016-11-18 07:14:52;58%;6:03;:(;;;2905
2016-11-20 03:54:18;2016-11-20 11:57:18;77%;8:03;:);;96;2719
2016-11-20 23:54:46;2016-11-21 07:11:01;71%;7:16;:|;;80;1962
2016-11-21 23:58:38;2016-11-22 07:14:38;73%;7:16;:|;;66;3227
2016-11-22 23:54:15;2016-11-23 07:10:12;76%;7:15;:|;;70;4886
2016-11-24 01:30:40;2016-11-24 08:21:59;71%;6:51;:);;93;2922
2016-11-24 23:42:14;2016-11-25 13:11:17;64%;13:29;:);;88;4327
2016-11-27 01:53:35;2016-11-27 08:45:18;70%;6:51;:);;67;621
2016-11-28 00:29:21;2016-11-28 07:15:13;71%;6:45;:|;;55;1008
2016-11-29 00:42:10;2016-11-29 07:10:08;65%;6:27;:|;;59;3296
2016-11-29 23:00:53;2016-11-30 07:13:08;88%;8:12;:|;;70;2399
2016-11-30 22:56:55;2016-12-01 07:11:51;78%;8:14;:(;;65;2532
2016-12-01 23:50:06;2016-12-02 07:14:49;68%;7:24;:|;;68;1940
2016-12-03 00:53:30;2016-12-03 08:58:10;92%;8:04;:|;;76;4002
2016-12-05 01:00:25;2016-12-05 06:54:59;59%;5:54;:|;;76;645
2016-12-06 00:05:59;2016-12-06 07:15:24;63%;7:09;:|;;63;2839
